                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4917,                 5.9378,                 1.4479,                      0,                      0,                      0,                      0,                 1.3582,                 4.9594,                 1.4316,              1.725e-05,              1.725e-05,              1.725e-05
                      2,                 1.4297,                  5.716,                 1.4136,                      0,                      0,                      0,                      0,                 1.1973,                 4.7902,                 1.3153,             3.7762e-05,             3.7762e-05,             3.7762e-05
                      3,                 1.2564,                 5.4704,                 1.2915,                      0,                      0,                      0,                      0,                 1.0606,                 4.6124,                  1.185,             5.8069e-05,             5.8069e-05,             5.8069e-05
                      4,                  1.186,                 5.0079,                 1.2017,                0.03462,                0.11765,                0.09074,                0.06951,                  1.006,                  4.379,                 1.1289,             7.8172e-05,             7.8172e-05,             7.8172e-05
                      5,                 1.0969,                 4.6473,                 1.1492,                0.03249,                0.18487,                0.12673,                0.09547,                0.99449,                 4.1456,                 1.1167,             9.8069e-05,             9.8069e-05,             9.8069e-05
                      6,                 1.0763,                 4.2436,                 1.1665,                0.09989,                0.36415,                0.28898,                0.20455,                0.98136,                 4.1009,                 1.1176,             0.00011776,             0.00011776,             0.00011776
                      7,                 1.0723,                 3.9902,                 1.1407,                0.06877,                0.40336,                0.29765,                0.23074,                0.98938,                 3.9849,                 1.1175,             0.00013725,             0.00013725,             0.00013725
                      8,                 1.1011,                 3.8031,                 1.1345,                0.14045,                0.42101,                0.34519,                0.24886,                 1.0446,                   3.98,                 1.1003,             0.00015653,             0.00015653,             0.00015653
                      9,                 1.0538,                 3.3884,                 1.1027,                0.26643,                0.49468,                0.45655,                0.32744,                 1.0307,                 3.9016,                 1.0934,             0.00017561,             0.00017561,             0.00017561
                     10,                 1.0316,                 3.2736,                 1.1127,                0.22278,                0.64706,                0.61157,                0.42083,                 1.0099,                 3.7996,                 1.0628,             0.00019448,             0.00019448,             0.00019448
                     11,                 1.0708,                 3.1466,                 1.1024,                0.18025,                0.65546,                0.59195,                0.43466,                 0.9588,                 3.6344,                 1.0283,             0.00021315,             0.00021315,             0.00021315
                     12,                0.96068,                 2.9476,                 1.0463,                0.13629,                0.70588,                0.63858,                0.48146,                0.93437,                 3.4515,                 1.0236,             0.00023161,             0.00023161,             0.00023161
                     13,                 1.0039,                 2.8956,                 1.0627,                0.12822,                0.85714,                0.72365,                0.52638,                0.93945,                  3.235,                 1.0274,             0.00024987,             0.00024987,             0.00024987
                     14,                 1.0013,                 2.6304,                 1.0722,                0.90874,                0.40497,                0.88187,                0.65894,                0.90401,                 2.8804,                 1.0185,             0.00026792,             0.00026792,             0.00026792
                     15,                 0.9965,                  2.602,                 1.0777,                0.94413,                0.38747,                0.90974,                0.65885,                0.95859,                 2.5385,                 1.0305,             0.00028577,             0.00028577,             0.00028577
                     16,                0.98045,                 2.6439,                 1.0621,                0.90442,                0.50967,                0.88865,                0.67935,                 0.8784,                 2.3519,                 1.0026,             0.00030341,             0.00030341,             0.00030341
                     17,                0.95336,                 2.5044,                 1.0551,                0.87998,                0.62804,                0.91397,                0.63828,                0.98673,                 2.0048,                 1.0395,             0.00031768,             0.00031768,             0.00031768
                     18,                0.98986,                 2.3829,                 1.0485,                0.81647,                0.74646,                0.91294,                0.64381,                0.99945,                 1.7699,                 1.0583,             0.00031768,             0.00031768,             0.00031768
                     19,                0.95941,                 2.4725,                 1.0423,                0.83548,                0.78972,                0.94903,                0.69488,                0.91857,                 1.6855,                 1.0229,             0.00031597,             0.00031597,             0.00031597
                     20,                0.97502,                 2.3507,                 1.0538,                0.82004,                0.79315,                0.95088,                0.70418,                0.92036,                 1.3946,                 1.0419,             0.00031426,             0.00031426,             0.00031426
                     21,                0.91295,                 2.2934,                 1.0428,                0.73816,                0.88235,                0.95532,                0.71123,                0.90151,                 1.2929,                 1.0279,             0.00031255,             0.00031255,             0.00031255
                     22,                0.91696,                  2.196,                 1.0475,                0.81108,                0.79622,                0.98034,                0.71557,                 0.8921,                  1.191,                 1.0214,             0.00031084,             0.00031084,             0.00031084
                     23,                0.94763,                 2.1613,                 1.0598,                0.82206,                0.81805,                0.99397,                0.74338,                0.89455,                 1.0568,                 1.0242,             0.00030914,             0.00030914,             0.00030914
                     24,                0.92759,                  2.108,                 1.0595,                0.87618,                0.79737,                  0.995,                0.72424,                0.91364,                0.97606,                 1.0631,             0.00030743,             0.00030743,             0.00030743
                     25,                0.87831,                 1.9852,                 1.0077,                0.77444,                0.84314,                 0.9742,                0.70673,                0.90742,                0.98221,                 1.0813,             0.00030572,             0.00030572,             0.00030572
