                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2288,                 5.7551,                 1.3571,                      0,                      0,                      0,                      0,                 1.0746,                 4.5014,                  1.327,              4.123e-05,              4.123e-05,              4.123e-05
                      2,                0.98327,                 5.1014,                 1.2297,                0.02525,                0.12903,                0.08884,                 0.0781,                 0.9106,                 4.0715,                 1.1693,             8.4211e-05,             8.4211e-05,             8.4211e-05
                      3,                0.89563,                 3.8761,                 1.1641,                 0.1062,                0.48118,                0.35025,                0.28197,                0.91078,                 3.6122,                 1.2028,             0.00012676,             0.00012676,             0.00012676
                      4,                0.84767,                 3.4351,                  1.119,                0.10263,                0.63441,                0.44309,                0.37453,                0.88504,                 3.1715,                 1.1755,             0.00016888,             0.00016888,             0.00016888
                      5,                0.81207,                 3.0398,                 1.0893,                0.85735,                0.26887,                0.57066,                 0.4644,                 0.7958,                 2.7557,                 1.1514,             0.00021058,             0.00021058,             0.00021058
                      6,                0.76665,                  2.623,                 1.0687,                0.71937,                0.58545,                0.71491,                0.58854,                0.84986,                 1.9626,                 1.1328,             0.00021163,             0.00021163,             0.00021163
                      7,                 0.7795,                 2.5232,                 1.0603,                0.74786,                0.68771,                0.79331,                0.64308,                0.80541,                 1.3736,                 1.1057,             0.00021163,             0.00021163,             0.00021163
                      8,                0.74889,                 2.3195,                 1.0638,                0.77889,                0.69771,                 0.8191,                0.68486,                0.73519,                 1.2336,                 1.0778,             0.00021056,             0.00021056,             0.00021056
                      9,                0.70094,                 2.1894,                 1.0404,                0.82214,                0.72057,                0.84417,                0.67096,                0.79149,                 1.1735,                 1.0939,             0.00020948,             0.00020948,             0.00020948
                     10,                0.71199,                 2.1374,                 1.0305,                0.74016,                0.81768,                0.86478,                 0.7027,                0.78052,                 1.0221,                 1.0841,             0.00020841,             0.00020841,             0.00020841
                     11,                0.68826,                 1.9671,                 1.0001,                0.71555,                0.87324,                 0.8803,                 0.7251,                0.72739,                 1.0544,                 1.0596,             0.00020733,             0.00020733,             0.00020733
                     12,                0.65764,                 1.7874,                0.98858,                 0.7041,                0.81201,                0.86318,                0.71808,                0.69649,                0.89883,                 1.0439,             0.00020626,             0.00020626,             0.00020626
                     13,                0.64491,                 1.7158,                0.98485,                0.90307,                0.72797,                0.90033,                0.75148,                0.72664,                 0.8409,                 1.0759,             0.00020518,             0.00020518,             0.00020518
